AcquisitionContextSRStorage,1.2.840.10008.5.1.4.1.1.88.71
AdvancedBlendingPresentationStateStorage,1.2.840.10008.5.1.4.1.1.11.8
AmbulatoryECGWaveformStorage,1.2.840.10008.5.1.4.1.1.9.1.3
ArterialPulseWaveformStorage,1.2.840.10008.5.1.4.1.1.9.5.1
AutorefractionMeasurementsStorage,1.2.840.10008.5.1.4.1.1.78.2
BasicStructuredDisplayStorage,1.2.840.10008.5.1.4.1.1.131
BasicTextSRStorage,1.2.840.10008.5.1.4.1.1.88.11
BasicVoiceAudioWaveformStorage,1.2.840.10008.5.1.4.1.1.9.4.1
BodyPositionWaveformStorage,1.2.840.10008.5.1.4.1.1.9.8.1
BlendingSoftcopyPresentationStateStorage,1.2.840.10008.5.1.4.1.1.11.4
BreastProjectionXRayImageStorageForPresentation,1.2.840.10008.5.1.4.1.1.13.1.4
BreastProjectionXRayImageStorageForProcessing,1.2.840.10008.5.1.4.1.1.13.1.5
BreastTomosynthesisImageStorage,1.2.840.10008.5.1.4.1.1.13.1.3
CardiacElectrophysiologyWaveformStorage,1.2.840.10008.5.1.4.1.1.9.3.1
CArmPhotonElectronRadiationRecordStorage,1.2.840.10008.5.1.4.1.1.481.19
CArmPhotonElectronRadiationStorage,1.2.840.10008.5.1.4.1.1.481.13
ChestCADSRStorage,1.2.840.10008.5.1.4.1.1.88.65
ColonCADSRStorage,1.2.840.10008.5.1.4.1.1.88.69
ColorSoftcopyPresentationStateStorage,1.2.840.10008.5.1.4.1.1.11.2
CompositingPlanarMPRVolumetricPresentationStateStorage,1.2.840.10008.5.1.4.1.1.11.7
ComprehensiveSRStorage,1.2.840.10008.5.1.4.1.1.88.33
Comprehensive3DSRStorage,1.2.840.10008.5.1.4.1.1.88.34
ComputedRadiographyImageStorage,1.2.840.10008.5.1.4.1.1.1
ContentAssessmentResultsStorage,1.2.840.10008.5.1.4.1.1.90.1
CornealTopographyMapStorage,1.2.840.10008.5.1.4.1.1.82.1
CTImageStorage,1.2.840.10008.5.1.4.1.1.2
CTPerformedProcedureProtocolStorage,1.2.840.10008.5.1.4.1.1.200.2
DeformableSpatialRegistrationStorage,1.2.840.10008.5.1.4.1.1.66.3
DermoscopicPhotographyImageStorage,1.2.840.10008.5.1.4.1.1.77.1.7
DigitalIntraOralXRayImageStorageForPresentation,1.2.840.10008.5.1.4.1.1.1.3
DigitalIntraOralXRayImageStorageForProcessing,1.2.840.10008.5.1.4.1.1.1.3.1
DigitalMammographyXRayImageStorageForPresentation,1.2.840.10008.5.1.4.1.1.1.2
DigitalMammographyXRayImageStorageForProcessing,1.2.840.10008.5.1.4.1.1.1.2.1
